,symbol,profile
industry,NEE,Utilities - Regulated
sector,NEE,Utilities
website,NEE,http://www.nexteraenergy.com
ceo,NLSN,Dwight M. Barns
companyName,NLSN,Nielsen N.V.
description,NLSN,Nielsen Holdings PLC is a professional services company providing performance management services. It helps its clients to enhance their interactions with consumers and make critical business decisions. Its segments are Buy and Watch.
exchange,NLSN,New York Stock Exchange
industry,NLSN,Business Services
sector,NLSN,Industrials
website,NLSN,http://www.nielsen.com
ceo,NKE,
companyName,NKE,Nike Inc.
description,NKE,"Nike Inc designs, develops and markets footwear, apparel, equipment, and accessory products. It is a seller of athletic footwear and athletic apparel. It sells its products through NIKE-owned in-line and factory retail stores and internet websites."
exchange,NKE,New York Stock Exchange
industry,NKE,Manufacturing - Apparel & Furniture
sector,NKE,Consumer Cyclical
website,NKE,http://www.nike.com
ceo,NI,Joseph Hamrock
companyName,NI,NiSource Inc
description,NI,"NiSource Inc is an energy holding company, whose subsidiaries are fully regulated natural gas and electric utility companies serving customers in seven states."
exchange,NI,New York Stock Exchange
industry,NI,Utilities - Regulated
sector,NI,Utilities
website,NI,http://www.nisource.com
ceo,NBL,David L. Stover
companyName,NBL,Noble Energy Inc.
description,NBL,"Noble Energy Inc is an independent energy company. It is engaged in crude oil, natural gas and natural gas liquids (NGLs) exploration and production."
exchange,NBL,New York Stock Exchange
industry,NBL,Oil & Gas - E&P
sector,NBL,Energy
website,NBL,http://www.nobleenergyinc.com
ceo,JWN,Blake W. Nordstrom
companyName,JWN,Nordstrom Inc.
description,JWN,"Nordstrom Inc operates as a fashion specialty retailer in the United States. It sells its products through various channels, including Nordstrom full-line stores, Nordstrom Rack off-price stores, Last Chance clearance stores, and Jeffrey boutiques."
exchange,JWN,New York Stock Exchange
industry,JWN,Retail - Apparel & Specialty
sector,JWN,Consumer Cyclical
website,JWN,http://www.nordstrom.com
ceo,NSC,James A. Squires
companyName,NSC,Norfolk Southern Corporation
description,NSC,"Norfolk Southern Corp conducts rail transportation business. It transports raw materials, intermediate products, and finished goods in the United States."
exchange,NSC,New York Stock Exchange
industry,NSC,Transportation & Logistics
sector,NSC,Industrials
website,NSC,http://www.nscorp.com
ceo,NTRS,Michael G. O'Grady
companyName,NTRS,Northern Trust Corporation
description,NTRS,"Northern Trust Corp is a provider of asset servicing, fund administration, asset management, fiduciary and banking solutions for corporations, institutions, families and individuals."
exchange,NTRS,Nasdaq Global Select
industry,NTRS,Asset Management
sector,NTRS,Financial Services
website,NTRS,http://www.northerntrust.com
ceo,NOC,Wesley G. Bush
companyName,NOC,Northrop Grumman Corporation
description,NOC,"Northrop Grumman Corp offers portfolio of capabilities and technologies to deliver products, systems and solutions for applications to government and commercial customers. It provides products, systems and solutions in autonomous systems."
exchange,NOC,New York Stock Exchange
industry,NOC,Conglomerates
sector,NOC,Industrials
website,NOC,http://www.northropgrumman.com
ceo,NCLH,Frank J. Del Rio
companyName,NCLH,Norwegian Cruise Line Holdings Ltd.
description,NCLH,"Norwegian Cruise Line Holdings Ltd is a cruise company which operates the Norwegian, Oceania Cruises and Regent brands. It offers accommodations, multiple dining venues, bars and lounges, spa, casino and retail shopping areas."
exchange,NCLH,New York Stock Exchange
industry,NCLH,Travel & Leisure
sector,NCLH,Consumer Cyclical
website,NCLH,http://www.ncl.com
ceo,NRG,Mauricio Gutierrez
companyName,NRG,NRG Energy Inc.
description,NRG,"NRG Energy Inc is engaged in the utilities sector. Its primary business involves operation of power generation facilities, trading of energy, capacity & related products; transacting in & trading of fuel & transportation services."
exchange,NRG,New York Stock Exchange
industry,NRG,Utilities - Independent Power Producers
sector,NRG,Utilities
website,NRG,http://www.nrgenergy.com
ceo,NUE,John J. Ferriola
companyName,NUE,Nucor Corporation
description,NUE,Nucor Corp and its affiliates are engaged in the manufacturing of steel and steel products. It also produces direct reduced iron for use in the steel mills. The company is involved in every phase of the steelmaking.
exchange,NUE,New York Stock Exchange
industry,NUE,Steel
sector,NUE,Basic Materials
website,NUE,http://www.nucor.com
ceo,NVDA,Jen-Hsun Huang
companyName,NVDA,NVIDIA Corporation
description,NVDA,"NVIDIA Corp is a developer of semiconductor equipment. It caters to areas like gaming, professional visualization, datacenter and automobiles."
exchange,NVDA,Nasdaq Global Select
industry,NVDA,Semiconductors
sector,NVDA,Technology
website,NVDA,http://www.nvidia.com
ceo,NVR,Paul C. Saville
companyName,NVR,NVR Inc.
description,NVR,"NVR Inc is a United States based company engaged in the construction and sale of single-family detached homes, town homes and condominium buildings. It also operates in mortgage banking and title services business."
exchange,NVR,New York Stock Exchange
industry,NVR,Homebuilding & Construction
sector,NVR,Consumer Cyclical
website,NVR,http://www.nvrinc.com
ceo,ORLY,Gregory L. Henslee
companyName,ORLY,O'Reilly Automotive Inc.
description,ORLY,"O'Reilly Automotive Inc acts as a seller of aftermarket automotive parts, tools, and accessories, serving professional and DIY (do-it-yourself) customers in the US."
exchange,ORLY,Nasdaq Global Select
industry,ORLY,Retail - Apparel & Specialty
sector,ORLY,Consumer Cyclical
website,ORLY,http://www.oreillyauto.com
ceo,OXY,Vicki A. Hollub
companyName,OXY,Occidental Petroleum Corporation
description,OXY,"Occidental Petroleum Corp is in the business of exploration and production of oil and gas. It also processes, gathers, transports, stores, purchases and markets oil, condensate, natural gas liquids, natural gas."
exchange,OXY,New York Stock Exchange
industry,OXY,Oil & Gas - Integrated
sector,OXY,Energy
website,OXY,http://www.oxy.com
ceo,OMC,John D. Wren
companyName,OMC,Omnicom Group Inc.
description,OMC,"Omnicom Group Inc is an advertising, marketing and corporate communications company. It provides professional services to clients through multiple agencies."
exchange,OMC,New York Stock Exchange
industry,OMC,Advertising & Marketing Services
sector,OMC,Consumer Cyclical
website,OMC,http://www.omnicomgroup.com
ceo,OKE,Terry K. Spencer
companyName,OKE,ONEOK Inc.
description,OKE,"ONEOK Inc is a diversified energy company. Its business operations are divided into Natural Gas Gathering and Processing, Natural Gas Liquids and Natural Gas Pipelines."
exchange,OKE,New York Stock Exchange
industry,OKE,Oil & Gas - Midstream
sector,OKE,Energy
website,OKE,http://www.oneok.com
ceo,ORCL,Mark V. Hurd / Safra Ada Catz
companyName,ORCL,Oracle Corporation
description,ORCL,"Oracle Corp is a computer software company. It sells enterprise information technology solutions, including databases, middleware, applications, and hardware. The Company primarily offers software licenses, support, and maintenance services worldwide."
exchange,ORCL,New York Stock Exchange
industry,ORCL,Application Software
sector,ORCL,Technology
website,ORCL,http://www.oracle.com
ceo,PCAR,Ronald E. Armstrong
companyName,PCAR,PACCAR Inc.
description,PCAR,"PACCAR Inc manufactures and sells light, medium and heavy-duty trucks and parts under the Kenworth, Peterbilt and DAF brands. It also designs and manufactures advanced diesel engines and provides financial and information technology services."
exchange,PCAR,Nasdaq Global Select
industry,PCAR,Truck Manufacturing
sector,PCAR,Industrials
website,PCAR,http://www.paccar.com
ceo,PKG,Mark W. Kowlzan
companyName,PKG,Packaging Corporation of America
description,PKG,"Packaging Corp of America is a producer of container board and corrugated products in the US. Further, it also produces multi-color boxes and displays, as well as meat boxes and wax-coated boxes for the agricultural industry."
exchange,PKG,New York Stock Exchange
industry,PKG,Packaging & Containers
sector,PKG,Consumer Cyclical
website,PKG,http://www.packagingcorp.com
ceo,PH,Thomas L. Williams
companyName,PH,Parker-Hannifin Corporation
description,PH,Parker Hannifin Corp is a diversified manufacturer of motion and control technologies and systems. It operates in two reportable business segments namely Diversified Industrial and Aerospace Systems.
exchange,PH,New York Stock Exchange
industry,PH,Industrial Products
sector,PH,Industrials
website,PH,http://www.phstock.com
ceo,PAYX,Martin Mucci
companyName,PAYX,Paychex Inc.
description,PAYX,"Paychex Inc operates in payroll outsourcing industry. The company provides integrated payroll, human resource, insurance, and benefits outsourcing solutions for small and medium-sized businesses in the United States."
exchange,PAYX,Nasdaq Global Select
industry,PAYX,Business Services
sector,PAYX,Industrials
website,PAYX,http://www.paychex.com
ceo,PYPL,Daniel H. Schulman
companyName,PYPL,PayPal Holdings Inc.
description,PYPL,"PayPal Holdings Inc is a technology platform company that enables digital and mobile payments on behalf of consumers and merchants. The company's payments platform includes PayPal, PayPal Credit, Venmo, Xoom and Braintree products."
exchange,PYPL,Nasdaq Global Select
industry,PYPL,Credit Services
sector,PYPL,Financial Services
website,PYPL,https://www.paypal.com
ceo,PNR,Randall J. Hogan
companyName,PNR,Pentair plc.
description,PNR,"Pentair PLC is engaged in manufacturing pumps for commercial and residential applications, including sump pumps, well pumps, and fire-protection pumps. It also provides advanced connectors and fasteners and protection for sensitive electronics."
exchange,PNR,New York Stock Exchange
industry,PNR,Industrial Products
sector,PNR,Industrials
website,PNR,http://www.pentair.com
ceo,PBCT,John P. Barnes
companyName,PBCT,People's United Financial Inc.
description,PBCT,"People's United Financial Inc is a bank holding company. It provides commercial banking, retail and business banking, and wealth management services to individual, corporate and municipal customers."
exchange,PBCT,Nasdaq Global Select
industry,PBCT,Banks
sector,PBCT,Financial Services
website,PBCT,http://www.peoples.com
